Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,1.9240,26.6825,1.7767,32.3200
2,1.6881,36.4925,1.6747,38.2400
3,1.5748,41.6725,1.8254,35.7900
4,1.5146,44.4000,1.5774,43.8700
5,1.4517,46.5850,1.7619,37.7100
6,1.4094,48.5475,1.6830,41.2600
7,1.3642,50.7075,1.7265,42.1700
8,1.3545,51.1050,1.4008,50.0900
9,1.3464,51.4875,1.3561,50.5700
10,1.3316,52.0300,1.4714,46.7300
11,1.3166,52.6350,1.2719,53.9800
12,1.3202,52.6075,1.3188,52.3800
13,1.3165,52.6825,1.4885,47.9500
14,1.3145,52.5775,1.3021,53.1400
15,1.3050,53.0625,1.5392,45.9800
16,1.3063,53.1250,1.3537,51.7100
17,1.2941,53.5475,1.3137,51.5300
18,1.2984,53.3600,1.3965,50.0200
19,1.2981,53.1350,1.3306,52.5100
20,1.3021,53.4400,1.4480,48.0600
21,1.2997,52.7550,1.3960,51.0900
22,1.2968,53.5275,1.5604,47.4400
23,1.3027,52.9850,1.8264,41.4100
24,1.2890,53.7725,1.3053,52.6600
25,1.2932,53.3625,1.4974,48.2900
26,1.2990,53.1625,1.3547,51.6200
27,1.2950,53.3450,1.3581,50.9100
28,1.2919,53.3950,1.5497,46.2300
29,1.2772,53.9775,1.3258,52.5900
30,1.2837,53.7975,1.3904,49.9400
31,1.2916,53.4175,1.2930,52.7400
32,1.2851,53.6950,1.3476,52.2000
33,1.2849,53.8775,1.6766,44.1700
34,1.2787,54.0375,1.4165,50.3700
35,1.2814,53.5875,2.0053,37.7100
36,1.2780,53.7050,1.5233,47.8900
37,1.2729,54.3375,1.4758,47.8600
38,1.2761,53.9025,1.3892,51.6400
39,1.2854,53.9225,1.2906,53.5500
40,1.2820,53.7525,1.5031,47.5300
41,1.2753,54.1500,1.4660,47.9300
42,1.2796,53.8000,1.2884,53.1900
43,1.2765,54.0875,1.6509,44.1500
44,1.2708,54.2975,1.3617,51.0000
45,1.2743,53.9350,1.3892,50.4600
46,1.2667,54.4350,1.4349,50.9800
47,1.2691,54.2900,1.4319,49.0200
48,1.2713,54.4400,1.5860,47.2700
49,1.2691,54.3950,1.5340,46.7500
50,1.2743,54.2500,1.5318,44.8200
